,contextId,context,question
0,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",What is the name of this welding techniques program?
1,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", What code is associated with the welding techniques program?"
2,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", What kind of credential will I receive after completing this program?"
3,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", How long does it take to complete the welding techniques program?"
4,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", When can domestic students start this program in May, September or Spring 2025?"
5,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", What is the domestic tuition fee for the welding techniques program?"
6,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", What is the international tuition fee for the welding techniques program?"
7,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", Is this program available in Fall 2024 and Winter 2025 for international students?"
8,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", Where is this welding techniques program located?"
9,4ef57ad3-8079-41bb-92ac-b7848a49f524," Program Name: Welding Techniques
Code: T166
Credential: Ontario College Certificate
Method of Study: Full-time
Duration: 1 year (2 semesters)
Starting Months: May, September
Domestic Tuition: $8,447.00
International Tuition: $19,084.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Not Available (only for domestic students)
- Spring 2025: Open (only for domestic students, opens Aug 6, 2024)
Location: Casa Loma Campus
Program Description: A one-year welding program with hands-on learning and state-of-the-art facilities.
Welding Processes Mastered: Shielded Metal Arc Welding (SMAW)
Note: International students should refer to the page for specific details.",", What welding processes will I master in this program?"
