,contextId,context,question
0,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",What are the locations of Indigenous student centres at George Brown College?
1,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where is Sahkitcheway located at St. James campus?"
2,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", In which room can I find Wichihitowin at Casa Loma campus?"
3,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", Which campus houses Jiigibiik nibwaakaawin teg?"
4,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", What services do these centres offer to students?"
5,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can I contact the Indigenous Initiatives team?"
6,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number for Indigenous Initiatives?"
7,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for Indigenous Initiatives?"
8,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the email address for Indigenous Initiations?"
9,786aabbb-cb94-44a0-aa24-d56f7483fd8d," The Indigenous student centres at George Brown College are located at three different campuses: Sahkitcheway at St. James campus (Room 562D, 200 King St E, Toronto, Ontario), Wichihitowin at Casa Loma campus (Room 434C, 160 Kendal Ave. Toronto, Ontario), and Jiigibiik nibwaakaawin teg at Waterfront campus (Room 2275, 1 Dockside Dr. Toronto, Ontario). These centres offer students a quiet and comfortable place to study, access to job postings, current event listings, community newsletters, and college and university information. Students can also meet other students, have access to free coffee, and learn more about the Indigenous Initiatives team and their services. Contact details for the Indigenous Initiatives are: phone number 416-415-2000, TTY 1-877-515-5559, email ask.george@georgebrown.ca. The information on this website is subject to change without notice and should not be viewed as a representation or warranty. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the website subject to change?"
