,contextId,context,question
0,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",What is the name of this program?
1,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", What is the code for the Construction Management program?"
2,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", What kind of credential will I receive from this program?"
3,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", How long does this program last?"
4,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", In which months can I start this program?"
5,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", What is the domestic tuition fee for this program?"
6,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", What is the international tuition fee for this program?"
7,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", Is this program available in Spring 2025?"
8,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", What is the experiential learning component of this program?"
9,c98f3591-9312-4af4-b71e-c6b5900ccec4," Program Name: Construction Management
Code: T403
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 1 year (3 semesters)
Starting Months: January, September
Domestic Tuition: $12,365.00
International Tuition: $27,012.00
Program Availability:
- Fall 2024: Open (for both domestic and international students)
- Winter 2025: Open (for both domestic and international students)
- Spring 2025: Not Available (for neither domestic nor international students)
Experiential Learning: Field experience in semester 3
Related Programs: Building Information Modeling Management (BIM) (T412), Residential Construction Management (T408), Honours Bachelor of Technology (Construction Management) (T312)",", Which related programs are offered in this field?"
