,contextId,context,question
0,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",What is the name of this program?
1,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", What is the code for the Social Service Worker program?"
2,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", what type of credential will I receive upon completion of this program?"
3,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", How long does it take to complete this program in full-time study?"
4,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", When can domestic students start this program in 2025?"
5,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", How much is the tuition for domestic students in this program?"
6,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", What is the tuition for international students in this program?"
7,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", Where is this program located?"
8,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", What type of experiential learning is included in this program?"
9,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", When is the application opening for spring 2025 intake for domestic students?"
10,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",", What are some related programs offered by your institution?"
11,ad122d1e-c58f-400e-ae35-d24876eb7d0c," Program Name: Social Service Worker
Program Code: C135
Credential Type: Ontario College Diploma
Method of Study: Full-time
Duration: 6 weeks, 8 months (3 semesters)
Starting Months: May
Domestic Tuition: $3,702.00
International Tuition: $17,833.00
Program Location: St. James Campus
Experiential Learning: Field Education
Semester Availability (for domestic students): Spring 2025, opens Aug 6, 2024
Related Programs: Social Service Worker (C119), Community Worker (C101), Practical Nursing (PN) (S121)",?
