,contextId,context,question
0,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",What is the name of this program?
1,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", Which code is associated with Design Management?"
2,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", What type of credential will I receive for this program?"
3,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", How long does it take to complete Design Management?"
4,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", In what months can I start this program domestically?"
5,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", In what months can I start this program internationally?"
6,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", How much does it cost for domestic students to attend this program?"
7,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", How much does it cost for international students to attend this program?"
8,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", Is the study method for this program full-time only?"
9,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", Where is this program located?"
10,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", Is this program available in the fall semester of 2024 for international students?"
11,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", When can international students apply for the winter semester of 2025?"
12,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", Is this program available during the spring semester of 2025?"
13,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",", What are some related programs offered in this college?"
14,d206f231-a218-41a1-a24d-a46dbd05f2a0," Program Name: Design Management
Code: G401
Credential: Ontario College Graduate Certificate
Duration: 1 year (2 semesters)
Starting Months: January, September
Domestic Tuition: $12,294.00
International Tuition: $23,026.00
Method of Study: Full-time
Location: Waterfront Campus
Program Availability:
- Fall 2024: Domestic - Open, International - Open
- Winter 2025: Domestic - Open, International - Opens Apr 8, 2024
- Spring 2025: Not Available, Not Available
Related Programs: Graphic Design (G102), Interactive Media Management (Postgraduate) (G412), Marketing Management – Digital Media (Postgraduate) (B433)",?
15,9a0430a0-e13f-4767-8d22-a7a5a7bc15d5," The text is about a design program offered at a college or school. Here are some key factual information extracted from the text:

1. The program includes courses on design process and strategy, project management, finance, team management, design research, contracts, business planning, communications, and intellectual property protection.
2. Students will participate in a major studio course featuring real-world design projects.
3. There is a mandatory Design Management Internship (DESN1031) course in semester 2. The work term for this internship is 120 hours, part-time, over an 8-week period.
4. As a graduate, one can enjoy a career managing design in the corporate sector, in a design consultancy, or in your own business.
5. Required courses for the first semester include DESN 1022 (Design Strategy), DESN 1023 (Managing Innovation and Creativity), DESN 1024 (Managing Design Projects), DESN 1027 (Business Design), DESN 1028 (Strategic Design Research and Development), COMM 1152 (Design Business Communications).
6. Required courses for the second semester include DESN 1021 (Design Team Leadership), DESN 1025 (Case Studies and Applications), DESN 1029 (Major Design Project), DESN 1031 (Design Management Internship).
7. The graduate will be able to manage multidisciplinary design groups, analyze evolving market needs, plan and implement project plans, enhance leadership skills, establish working relationships with clients and designers, and develop and implement business strategies.",What courses make up the first semester of the design program?
16,9a0430a0-e13f-4767-8d22-a7a5a7bc15d5," The text is about a design program offered at a college or school. Here are some key factual information extracted from the text:

1. The program includes courses on design process and strategy, project management, finance, team management, design research, contracts, business planning, communications, and intellectual property protection.
2. Students will participate in a major studio course featuring real-world design projects.
3. There is a mandatory Design Management Internship (DESN1031) course in semester 2. The work term for this internship is 120 hours, part-time, over an 8-week period.
4. As a graduate, one can enjoy a career managing design in the corporate sector, in a design consultancy, or in your own business.
5. Required courses for the first semester include DESN 1022 (Design Strategy), DESN 1023 (Managing Innovation and Creativity), DESN 1024 (Managing Design Projects), DESN 1027 (Business Design), DESN 1028 (Strategic Design Research and Development), COMM 1152 (Design Business Communications).
6. Required courses for the second semester include DESN 1021 (Design Team Leadership), DESN 1025 (Case Studies and Applications), DESN 1029 (Major Design Project), DESN 1031 (Design Management Internship).
7. The graduate will be able to manage multidisciplinary design groups, analyze evolving market needs, plan and implement project plans, enhance leadership skills, establish working relationships with clients and designers, and develop and implement business strategies.",", Could you tell me about the Design Management Internship in semester 2?"
17,9a0430a0-e13f-4767-8d22-a7a5a7bc15d5," The text is about a design program offered at a college or school. Here are some key factual information extracted from the text:

1. The program includes courses on design process and strategy, project management, finance, team management, design research, contracts, business planning, communications, and intellectual property protection.
2. Students will participate in a major studio course featuring real-world design projects.
3. There is a mandatory Design Management Internship (DESN1031) course in semester 2. The work term for this internship is 120 hours, part-time, over an 8-week period.
4. As a graduate, one can enjoy a career managing design in the corporate sector, in a design consultancy, or in your own business.
5. Required courses for the first semester include DESN 1022 (Design Strategy), DESN 1023 (Managing Innovation and Creativity), DESN 1024 (Managing Design Projects), DESN 1027 (Business Design), DESN 1028 (Strategic Design Research and Development), COMM 1152 (Design Business Communications).
6. Required courses for the second semester include DESN 1021 (Design Team Leadership), DESN 1025 (Case Studies and Applications), DESN 1029 (Major Design Project), DESN 1031 (Design Management Internship).
7. The graduate will be able to manage multidisciplinary design groups, analyze evolving market needs, plan and implement project plans, enhance leadership skills, establish working relationships with clients and designers, and develop and implement business strategies.",", What is the duration and format of the DESN1031 internship?"
18,9a0430a0-e13f-4767-8d22-a7a5a7bc15d5," The text is about a design program offered at a college or school. Here are some key factual information extracted from the text:

1. The program includes courses on design process and strategy, project management, finance, team management, design research, contracts, business planning, communications, and intellectual property protection.
2. Students will participate in a major studio course featuring real-world design projects.
3. There is a mandatory Design Management Internship (DESN1031) course in semester 2. The work term for this internship is 120 hours, part-time, over an 8-week period.
4. As a graduate, one can enjoy a career managing design in the corporate sector, in a design consultancy, or in your own business.
5. Required courses for the first semester include DESN 1022 (Design Strategy), DESN 1023 (Managing Innovation and Creativity), DESN 1024 (Managing Design Projects), DESN 1027 (Business Design), DESN 1028 (Strategic Design Research and Development), COMM 1152 (Design Business Communications).
6. Required courses for the second semester include DESN 1021 (Design Team Leadership), DESN 1025 (Case Studies and Applications), DESN 1029 (Major Design Project), DESN 1031 (Design Management Internship).
7. The graduate will be able to manage multidisciplinary design groups, analyze evolving market needs, plan and implement project plans, enhance leadership skills, establish working relationships with clients and designers, and develop and implement business strategies.",", What careers can be pursued with a degree in design management?"
