,contextId,context,question
0,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",What is the name of this honours bachelor's degree program?
1,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", What is the code for the Honours Bachelor of Food Studies program?"
2,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", How long does it take to complete this program?"
3,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", Is this a full-time program?"
4,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", When can international students start this program?"
5,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", What is the domestic tuition fee for this program?"
6,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", What is the international tuition fee for this program?"
7,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", In which centre and school is this program offered?"
8,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", What type of experiential learning opportunities are available in this program?"
9,33081958-ec4b-481b-8634-54da2c9750b9," Program Name: Honours Bachelor of Food Studies
Code: H317
Credential: Honours Bachelor's Degree
Duration: 4 years (8 semesters)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,552.00 *
International Tuition: $23,778.00 **
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Experiential Learning: 14-week 420-hour Work-Integrated Learning opportunity between the second and third years, two 16-hour community-engaged learning placements, field trips in the surrounding area
Fall 2023 Delivery: Hybrid for semesters 1, 3, 5
Winter 2024 Delivery: On Campus for semesters 2, 4, 6
Program Availability: Fall 2023 - Closed for domestic and international students, Winter 2024 - Not Available for domestic and international students.
Related Programs: Honours Bachelor of Commerce (Culinary Management) (H315), Culinary Management – Nutrition (H119), Culinary Management (H100)",", When is the fall 2023 delivery mode for this program?"
