,contextId,context,question
0,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",What is required to move forward in the Graphic Design program admission process?
1,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", How should the application questionnaire in the Graphic Design program be completed?"
2,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", Where should the link to a personal portfolio be submitted for evaluation?"
3,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", What categories should the portfolio include and how many pieces are allowed?"
4,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", What information needs to be presented alongside one piece from two specific categories?"
5,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", How will the Admissions Office make a decision on an application?"
6,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", How can applicants receive notifications of admission decisions and application deadlines?"
7,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",", Where should offers of admission be accepted?"
8,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",What contact details are provided for inquiries related to the Graphic Design program at George Brown College?
9,c663c897-c09a-4c2c-bdb4-9e27d86a8c3c," If you receive communication from the college indicating that you are being considered for the next stage of the admission process, you will need to submit an application questionnaire and portfolio for evaluation. The Application Questionnaire is designed to describe your future career objectives and intentions in the Graphic Design program and should be completed solely by the applicant in English. A link to a web-site, UNLOCKED Google Drive or Dropbox folder containing samples from your personal portfolio must also be included in the application.

A portfolio should include a maximum of 15 diverse pieces of your best creative work from the following three categories: Digital Work, Typography, and Traditional Art. One piece from these two categories must include all preliminary work presented on an accompanying page. Confidential results will be submitted by the School of Design to the Admissions Office upon review of your Application Questionnaire and Portfolio. The Admissions Office will make a decision on your application and you will receive notification via email and mail if you are successful. If you do receive an offer of admission, it should be accepted on www.ontariocolleges.ca as soon as possible to reserve your seat in the program.

Contact information:
- Phone: 416-415-2000
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
- Social Media Hub: Visit Our Social Media Hub

Application deadlines, college news, upcoming events, tours, and more can be signed up for on the website. The information contained in this website is subject to change without notice.",Can website information about the college be signed up for to receive updates and news?
