,contextId,context,question
0,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",What is the name of the program for Electromechanical Engineering Technology – Building Automation?
1,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", What is the code for this program?"
2,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", what kind of credential will I receive after completing this program?"
3,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", How long does it take to complete this Ontario College Advanced Diploma program?"
4,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", In which starting months is this program available?"
5,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", What is the domestic tuition fee for this program?"
6,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", What is the international tuition fee for this program?"
7,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", Is experiential learning offered in this program?"
8,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",", What are the related programs to Electromechanical Engineering Technology – Building Automation?"
9,ce08c910-f5d8-42a3-918f-727cdf7ae5e8," Program Name: Electromechanical Engineering Technology – Building Automation
Code: T171
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,312.00
International Tuition: $18,361.00
Program Availability:
- Fall 2024: Open (Domestic & International)
- Winter 2025: Open (Domestic & International)
Experiential Learning: Available
Related Programs: Electromechanical Engineering Technician (T146), Mechanical Engineering Technology – Design (T121), Electrical Techniques (T167)",?
