,contextId,context,question
0,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",What is the name of this accelerated early childhood education program?
1,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", What code is associated with this program?"
2,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", What type of credential will be granted upon completion?"
3,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", How long does the full-time study last for this program?"
4,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", When can domestic students start this program and when is it not available for international students?"
5,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", How much does a domestic student pay for tuition and what is the fee for international students?"
6,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", In which centre and school is this early childhood education program located?"
7,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",", What are some related programs offered in this field?"
8,173d3e0d-19e8-4032-b45b-9064574ab711," Program Name: Early Childhood Education (Accelerated)
Code: C160
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 16 months continuous with Summer classes (4 consecutive semesters)
Starting Months: September
Domestic Tuition: $5,811.00 *
International Tuition: $26,767.00 **
Centre: Community Services & Early Childhood
School: Early Childhood
Location: George Brown College at Toronto Metropolitan University Campus
Program Availability: Fall 2024 (Domestic and International students), Not Available for Winter and Spring 2025
Related Programs: Early Childhood Education (C100), Early Childhood Education (Fast-Track) (C130), Early Childhood Education (Consecutive Diploma/Degree) (C118)",?
9,3583cd54-b07f-446b-aa65-954318135c4d," The text provides information about an Early Childhood Education (ECE) diploma program offered by the college. The program is accelerated with a duration of 10 months for those who have a related qualification. Students in the program will engage in both classroom learning and field placements to gain practical experience. The field placement lasts for seven weeks in each semester, and students will work with children of different age groups in various settings.

The college owns and operates Ontario's largest network of school-run child care centres, with 12 locations across Toronto. Graduates of the program may find employment in various settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries. Some field placement partners may require students to provide proof of full vaccination against COVID-19 for completion of the program's required field placement component in a timely manner.

Key Information:

1. Program Type: Early Childhood Education (ECE) Diploma
2. Duration: 10 months for those with related qualifications
3. Field Placement: Seven weeks in each semester
4. Settings for Practical Experience: Various, including child care centres and early years centres
5. College-owned Child Care Centres: 12 locations across Toronto
6. Employment Opportunities: Multiple settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries.
7. COVID-19 Vaccination Requirement for Field Placement: Some partners may require students to show proof of full vaccination against COVID-19.",1. What is the type of diploma program offered by the college?
10,3583cd54-b07f-446b-aa65-954318135c4d," The text provides information about an Early Childhood Education (ECE) diploma program offered by the college. The program is accelerated with a duration of 10 months for those who have a related qualification. Students in the program will engage in both classroom learning and field placements to gain practical experience. The field placement lasts for seven weeks in each semester, and students will work with children of different age groups in various settings.

The college owns and operates Ontario's largest network of school-run child care centres, with 12 locations across Toronto. Graduates of the program may find employment in various settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries. Some field placement partners may require students to provide proof of full vaccination against COVID-19 for completion of the program's required field placement component in a timely manner.

Key Information:

1. Program Type: Early Childhood Education (ECE) Diploma
2. Duration: 10 months for those with related qualifications
3. Field Placement: Seven weeks in each semester
4. Settings for Practical Experience: Various, including child care centres and early years centres
5. College-owned Child Care Centres: 12 locations across Toronto
6. Employment Opportunities: Multiple settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries.
7. COVID-19 Vaccination Requirement for Field Placement: Some partners may require students to show proof of full vaccination against COVID-19.",",
2. How long does the Early Childhood Education (ECE) diploma program last for those with related qualifications?"
11,3583cd54-b07f-446b-aa65-954318135c4d," The text provides information about an Early Childhood Education (ECE) diploma program offered by the college. The program is accelerated with a duration of 10 months for those who have a related qualification. Students in the program will engage in both classroom learning and field placements to gain practical experience. The field placement lasts for seven weeks in each semester, and students will work with children of different age groups in various settings.

The college owns and operates Ontario's largest network of school-run child care centres, with 12 locations across Toronto. Graduates of the program may find employment in various settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries. Some field placement partners may require students to provide proof of full vaccination against COVID-19 for completion of the program's required field placement component in a timely manner.

Key Information:

1. Program Type: Early Childhood Education (ECE) Diploma
2. Duration: 10 months for those with related qualifications
3. Field Placement: Seven weeks in each semester
4. Settings for Practical Experience: Various, including child care centres and early years centres
5. College-owned Child Care Centres: 12 locations across Toronto
6. Employment Opportunities: Multiple settings such as child care centres, early years centres, full-day kindergarten, parent resource centres, pediatric playrooms, special education settings, integrated kindergartens, and therapeutic nurseries.
7. COVID-19 Vaccination Requirement for Field Placement: Some partners may require students to show proof of full vaccination against COVID-19.",",
3. In what settings will students gain practical experience during their field placements?"
