,contextId,context,question
0,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",What is the name of this program?
1,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", What code is associated with Event Planning program?"
2,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", What type of credential will I receive after completing this program?"
3,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", How long does it take to complete this program?"
4,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", In which months can I start this program domestically?"
5,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", What is the domestic tuition fee for this program?"
6,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", What is the international tuition fee for this program?"
7,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", Where is this program located?"
8,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", Which school offers this program?"
9,37ceb1d6-e274-4113-934f-8e27a6391b5d," Program Name: Event Planning
Code: H141
Credential: Ontario College Diploma
Method of Study: Full-time
Duration: 2 years (4 semesters)
Starting Months: January, May, September
Domestic Tuition: $4,545.00 *
International Tuition: $18,547.00 **
Centre: Hospitality & Culinary Arts
School: Hospitality & Tourism Management
Location: St. James Campus
Delivery Mode: Hybrid (Fall 2023 - Semesters 1, 2, 3; Winter 2024 - Semesters 1, 2, 3, 4)
Program Availability:
- Fall 2023: Closed (for both domestic and international students)
- Winter 2024: Closed (for both domestic and international students)
- Spring 2024: Open (for both domestic and international students)
Related Programs: Tourism and Hospitality Management (H130), Hospitality – Hotel Operations Management (H133), Sport and Event Marketing (Postgraduate) (B400)",", What delivery mode does this program follow?"
