,contextId,context,question
0,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",What is the phone number to contact George Brown College?
1,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How can I reach out via email to George Brown College?"
2,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where is the Social Media Hub located?"
3,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number for the Public Safety & Security Division?"
4,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How do I report a suspected break-in?"
5,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Who should I contact if I suspect an unknown or suspicious person?"
6,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What number should I call for Toronto Police services?"
7,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What number should I call for Ontario Provincial Police services?"
8,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the 'Request Stop Service' available for and what hours does it operate?"
9,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", Where can I find information about land acknowledgment at George Brown College?"
10,20390fb7-9386-4cbe-a60a-b743a6bbc5ab," George Brown College
Contact Information:
- Phone: 416-415-2000, TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca
Social Media Hub: [Visit Our Social Media Hub](Link to the social media hub)

Public Safety & Security Division:
- Phone: 416-415-4000
- Toronto Police: 416-808-2222 or extension '0' for Communications, or toll-free at 1-888-310-1122
- Ontario Provincial Police: toll-free at 1-888-310-1122

Request Stop Service (for riders travelling alone at night): Available between 9pm and 5am. Allows riders to be dropped off between stops on well-lit streets.

Security Tips:
- Be aware of your surroundings
- Trust your instincts
- If you suspect a break-in, use a neighbour's phone to call the police
- Report unknown or suspicious persons to building Security
- Domestic violence: contact security

Land Acknowledgment: [Learn more about our land acknowledgment](Link to land acknowledgment)

Sign Up for College News and Updates: [Sign Up Now](Link to sign up page)

Note: This information is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How do I sign up for college news and updates?"
