,contextId,context,question
0,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",1. What types of programs does George Brown College offer?
1,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",", 
2. Where is the Bachelor of Science in Nursing program offered?"
2,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
3. Are clinical placements provided in Health Sciences programs?"
3,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
4. How many square feet are dedicated to WAVE Clinics and Simulation Centre?"
4,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
5. Who are some industry connections for George Brown College students?"
5,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
6. What is the contact information for George Brown College?"
6,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
7. Where can students find the Social Media Hub?"
7,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
8. What can be signed up for on the George Brown College website?"
8,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
9. Can the information on the website change without notice?"
9,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",",
10. Who are responsible for verifying George Brown College fee requirements?"
10,15462a92-54f2-4352-a6b6-be91a5ce2500," EXTRACTED INFORMATION:

* George Brown College offers certificate, diploma, degrees, postgraduate programs, and a Pre-Health Sciences program.
* Bachelor of Science in Nursing is a collaborative nursing degree program offered between George Brown College, Centennial College and Toronto Metropolitan University.
* At least one field or clinical placement opportunity is offered in many Health Sciences programs.
* There are 416 square feet dedicated to WAVE Clinics and an accredited Simulation Centre.
* Industry connections include the University Health Network (Canada’s largest hospital network).
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Students can visit the Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for.
* The information on the website is subject to change without notice.
* Students are responsible for verifying George Brown College fee requirements.",?
