,contextId,context,question
0,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",What types of personal information does George Brown College collect under the Ontario Colleges of Applied Arts and Technology Act?
1,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",", In what ways is personal information collected at George Brown College besides directly from individuals?"
2,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",", How is video surveillance footage used by George Brown College?"
3,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",", From where does the college obtain third-party provided information about prospective students with appropriate consent?"
4,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",", What kinds of documentation are collected during academic integrity, student conduct, and other investigations?"
5,7b54d1cf-fa5e-4663-a446-31894ec52f7c," George Brown College is a publicly-funded college located in Toronto, Ontario. The college collects personal information under the authority of the Ontario Colleges of Applied Arts and Technology Act and in accordance with the Freedom of Information and Protection of Privacy Act. The purposes for which personal information is collected, stored, used, and disclosed include administering statutory objects and powers, programs, activities, and carrying out other services and functions.

The College uses video surveillance on its campuses and monitors IT systems, including communication and online learning systems, collecting and using information about system use. Personal information may be collected from individuals when they communicate with the college, apply directly or fill out forms. Records of dealings with individuals are also created and maintained, such as a student record for every GBC student.

Personal information is collected from third-party sources where individuals have provided appropriate consent to the College or the third party. The Ontario College Application Service provides applications to the college's programs and the college works with international recruiting agents who provide information about prospective international students. Academic integrity, student conduct, and other investigations require the collection of documentation and gathering of information from witnesses.

The College collects personal information directly, indirectly, and via website technology. Personal information collected includes but may not be limited to: names, contact information (email addresses), application information, student records, video surveillance footage, IT system usage information, and third-party provided information about prospective students.",?
6,1de0dd47-5b56-44c7-9989-fc8216c7d6ce," The organization automatically collects personal information from visitors to their websites and describes this in greater detail in the ""website technology"" section and Cookie Policy. They collect personal information for primary purposes, including complying with Canadian Anti-Spam Legislation and for fundraising and alumni engagement. The George Brown College Foundation is an incorporated registered charity that helps the College raise money to support student success by receiving personal information about graduates for fundraising purposes. Individuals may opt out of having their personal information shared with the Foundation. The College has partnerships with Manulife and Economical Mutual Insurance Company to offer various financial services products to alumni, which requires data sharing with these organizations. Data shared includes first name, last name, email, and mailing address. To opt out of alumni marketing, individuals may contact the Alumni and Digital Engagement department at [alumni@georgebrown.ca](mailto:alumni@georgebrown.ca) or by phone at 416.415.5000 x 2535.",1. What kind of personal information does the organization collect from website visitors?
7,1de0dd47-5b56-44c7-9989-fc8216c7d6ce," The organization automatically collects personal information from visitors to their websites and describes this in greater detail in the ""website technology"" section and Cookie Policy. They collect personal information for primary purposes, including complying with Canadian Anti-Spam Legislation and for fundraising and alumni engagement. The George Brown College Foundation is an incorporated registered charity that helps the College raise money to support student success by receiving personal information about graduates for fundraising purposes. Individuals may opt out of having their personal information shared with the Foundation. The College has partnerships with Manulife and Economical Mutual Insurance Company to offer various financial services products to alumni, which requires data sharing with these organizations. Data shared includes first name, last name, email, and mailing address. To opt out of alumni marketing, individuals may contact the Alumni and Digital Engagement department at [alumni@georgebrown.ca](mailto:alumni@georgebrown.ca) or by phone at 416.415.5000 x 2535.","2. Where can I find more details about the ""website technology"" and Cookie Policy?"
8,1de0dd47-5b56-44c7-9989-fc8216c7d6ce," The organization automatically collects personal information from visitors to their websites and describes this in greater detail in the ""website technology"" section and Cookie Policy. They collect personal information for primary purposes, including complying with Canadian Anti-Spam Legislation and for fundraising and alumni engagement. The George Brown College Foundation is an incorporated registered charity that helps the College raise money to support student success by receiving personal information about graduates for fundraising purposes. Individuals may opt out of having their personal information shared with the Foundation. The College has partnerships with Manulife and Economical Mutual Insurance Company to offer various financial services products to alumni, which requires data sharing with these organizations. Data shared includes first name, last name, email, and mailing address. To opt out of alumni marketing, individuals may contact the Alumni and Digital Engagement department at [alumni@georgebrown.ca](mailto:alumni@georgebrown.ca) or by phone at 416.415.5000 x 2535.",3. For what primary purposes does the organization collect personal information?
9,1de0dd47-5b56-44c7-9989-fc8216c7d6ce," The organization automatically collects personal information from visitors to their websites and describes this in greater detail in the ""website technology"" section and Cookie Policy. They collect personal information for primary purposes, including complying with Canadian Anti-Spam Legislation and for fundraising and alumni engagement. The George Brown College Foundation is an incorporated registered charity that helps the College raise money to support student success by receiving personal information about graduates for fundraising purposes. Individuals may opt out of having their personal information shared with the Foundation. The College has partnerships with Manulife and Economical Mutual Insurance Company to offer various financial services products to alumni, which requires data sharing with these organizations. Data shared includes first name, last name, email, and mailing address. To opt out of alumni marketing, individuals may contact the Alumni and Digital Engagement department at [alumni@georgebrown.ca](mailto:alumni@georgebrown.ca) or by phone at 416.415.5000 x 2535.",4. How does the George Brown College Foundation use the collected personal information for fundraising and alumni engagement?
