,contextId,context,question
0,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",1. Which schools at George Brown College offer international field placements?
1,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
2. Where are the partnerships for international field placements located?"
2,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
3. Which organizations have ECE students completed placements with in India?"
3,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
4. What opportunities do ECE students gain from these placements?"
4,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
5. In which countries do students from CYC, SSW, and Community Worker programs work?"
5,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
6. What activities do students collaborate on during their placements in India?"
6,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
7. Where did the 2020 placement for students take place in India?"
7,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
8. Which cultural landmarks did students visit during the 2020 placement in India?"
8,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",",
9. Who is Stef Kennedy and which program is she enrolled in at George Brown College?"
9,aa78b523-4c7b-4778-8040-6dc8ec50c815," International field placements are offered at George Brown College in the School of Early Childhood Education and the School of Social and Community Services. Partnerships exist with organizations in Jamaica, China, and India. The field placement in India is facilitated through Ritinjali, an organization working with marginalized groups in New Delhi slums.

ECE students have completed placements at various organizations including an outdoor play organization, local childcare centers, a program for children with special needs, an orphanage, and childcare centers serving slum communities. These placements provide opportunities for learning in partnership development, pedagogy, and practice, as well as a deeper understanding of urban Indian contexts.

Students from the Child and Youth Care (CYC), Social Service Worker (SSW), and Community Worker (CW) programs work with youth and young adults in various Indian slums. They collaborate with organization staff to implement and facilitate life skills workshops promoting social, emotional, and entrepreneurial skill development. Students also have the opportunity to learn about India's rich culture and history during their placement.

The placement in India offers students a chance to travel internationally with peers and faculty support from George Brown College. The 2020 placement took place in February and involved students from the ECE, CYC, SSW, and Community Worker programs. Students visited cultural landmarks such as the Taj Mahal in Agra and rural schools to understand community needs. India offers a diverse learning experience with opportunities to work with early childhood education and family support experts, preparing George Brown students for the global community.

Stef Kennedy is a Social Service Worker Program student who has participated in this placement program.",10. What experiences did Stef Kennedy gain during her participation in the international field placement program?
