,contextId,context,question
0,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",What is the name of this program?
1,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", What code is associated with the Electronics Technician program?"
2,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", What kind of credential will I receive from George Brown College for this program?"
3,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", In what method of study can I pursue this Electronics Technician program?"
4,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", How long does it take to complete this program approximatedly?"
5,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", When can I start enrolling for this program?"
6,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", How much is the domestic tuition fee for this program?"
7,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", Where will I be studying for this program?"
8,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", What is the focus area of this Electronas Quot;s Technician program?"
9,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", Which skills will be taught in this program?"
10,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", Which components of electronic systems will be covered in the program?"
11,861138f5-b4d5-4dc0-bacf-47f6857cb7ff," Program Name: Electronics Technician
Code: T901
Credential: George Brown College Certificate
Method of Study: Part-time
Duration: 32 weeks (approximately)
Starting Months: Open enrolment
Domestic Tuition: $1,760.00*
Location: Online
Program Type: Distance Education
Focus Area: Electronics equipment repair and installation
Skills Taught: Assembling, installing, troubleshooting, and repairing electronic equipment
Components of electronic systems: Capacitors, resistors, semiconductors, amplifiers, etc.
Availability for International Students: Does not qualify for study/work permit (including PGWP) eligibility in Canada.
Format: Online learning with interactive packages on personal computers and simulations.
Courses (Modules): 24 courses (modules) with text, audio, 2D and 3D animations, computer-based testing and CircuitLogix and 3DLab simulation.",", Is this program available for international students to acquire study/work permit and PGWP in Canada?"
