,contextId,context,question
0,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",1. What is Canada's Anti-Spam Legislation (CASL) regarding electronic communications?
1,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",", 
2. When did CASL take effect?"
2,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",", 
3. How can outside parties manage their communication preferences with the George Brown College?"
3,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",", 
4. Who are the regulatory bodies enforcing CASL compliance for the College?"
4,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",", 
5. What protections does the College have in place to ensure CASL compliance?"
5,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",", 
6. Which electronic communications from the College are subject to CASL regulations?"
6,bcd4a0aa-6d88-4cc6-9a85-8a5009f49e92," The George Brown College is committed to complying with Canada's Anti-Spam Legislation (CASL) regarding electronic communications with outside parties. This legislation took effect on July 1st, 2014. Outside parties can manage their communication preferences by unsubscribing through the College's Preference Centre or contacting casl@georgebrown.ca. The College complies with rules and regulations enforced by the Canadian Radio-television and Telecommunications Commission (CRTC), the Competition Bureau, and the Privacy Commissioner of Canada. Electronic communications from the College are protected by business procedures and policies to ensure compliance with CASL. All commercial electronic messages sent by the College to outside parties are subject to CASL regulations.",?
7,7a448520-2c7c-4aae-9e5b-a947ae9c90f8," The College has adopted an Anti-Spam Commitment to comply with Canada's Anti-Spam Legislation (CASL). They have implemented a Preference Center for managing consent requirements for Commercial Electronic Messages (CEMs). Express consent is required from recipients, which can be obtained through the Preference Center or by updating communication preferences.

Recipients can modify how the College interacts with them without unsubscribing completely. All CEMs must include certain prescribed content such as identification of the College as the sender, contact information, and a working unsubscribe mechanism. The College has modified its email footers to meet these requirements.",1. What is the College's Anti-Spam Commitment?
8,7a448520-2c7c-4aae-9e5b-a947ae9c90f8," The College has adopted an Anti-Spam Commitment to comply with Canada's Anti-Spam Legislation (CASL). They have implemented a Preference Center for managing consent requirements for Commercial Electronic Messages (CEMs). Express consent is required from recipients, which can be obtained through the Preference Center or by updating communication preferences.

Recipients can modify how the College interacts with them without unsubscribing completely. All CEMs must include certain prescribed content such as identification of the College as the sender, contact information, and a working unsubscribe mechanism. The College has modified its email footers to meet these requirements.",", 
2. How does the College manage consent requirements for Commercial Electronic Messages (CEMs)?"
9,7a448520-2c7c-4aae-9e5b-a947ae9c90f8," The College has adopted an Anti-Spam Commitment to comply with Canada's Anti-Spam Legislation (CASL). They have implemented a Preference Center for managing consent requirements for Commercial Electronic Messages (CEMs). Express consent is required from recipients, which can be obtained through the Preference Center or by updating communication preferences.

Recipients can modify how the College interacts with them without unsubscribing completely. All CEMs must include certain prescribed content such as identification of the College as the sender, contact information, and a working unsubscribe mechanism. The College has modified its email footers to meet these requirements.",",
3. What is required from recipients for the College to send CEMs?"
