,contextId,context,question
0,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",What is the name of the program called?
1,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", What is the code for the Computer Systems Technology program?"
2,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", What type of credential will I receive after completing this program?"
3,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", How long does it take to complete the Computer Systems Technology program?"
4,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", In what months can I start this program domestically?"
5,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", In what months can I start this program internationally?"
6,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", How much does it cost for domestic students to attend this program?"
7,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", How much does it cost for international students to attend this program?"
8,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", Is the program available in the fall of 2023 for domestic students?"
9,692ce734-7b7f-4791-a1ce-14cb5042fc63," Program Name: Computer Systems Technology
Code: T147
Credential: Ontario College Advanced Diploma
Duration: 3 years (6 semesters)
Starting Months: January, September
Domestic Tuition: $4,079.00
International Tuition: $17,880.00
Program Availability:
- Fall 2023: Closed for domestic and international students
- Winter 2024: Closed for domestic and international students
- Spring 2024: Not Available for both domestic and international students
Method of Study: Full-time
Location: Casa Loma Campus
Specializations: Networking, Systems
Specialization Courses: network security, voice-over-IP (VoIP), wireless LANs, mail server administration, content management systems (Collaboration), database administration, computer security, infrastructure virtualization (through the VMWare IT Academy), cloud computing.
* Please note that this program is also offered in a fully online format with code T187.",", Is the program available in the fall of 2023 for international students?"
