,contextId,context,question
0,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.","What is the role of the Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College?"
1,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", Who are the stakeholders that collaborate with OAREHRS?"
2,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", what resources does OAREHRS develop for anti-racism?"
3,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", Is there an anti-racism policy at George Brown?"
4,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", What training opportunities does George Brown offer for anti-racism?"
5,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", Is this training offered online?"
6,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", Who serves as the Manager of Anti-Racism Integration at George Brown?"
7,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", When did George Brown celebrate Black Futures?"
8,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", How did the college examine its anti-racism policies and practices in February?"
9,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",", What is the ""Take 5 for Anti-Racism"" resource and how does it guide users through anti-racism engagement?"
10,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",What contact information can be used to reach out to OAREHRS at George Brown?
11,e42124b5-9e72-415d-be50-199f50bee801," The Office of Anti-Racism, Equity and Human Rights (OAREHRS) at George Brown College collaborates with various stakeholders to develop anti-racism resources. These resources include an anti-racism policy, training opportunities, and a ""Take 5 for Anti-Racism"" resource. The college offers a range of anti-racism training for participants, including online e-training. Nadia Richards serves as the Manager of Anti-Racism Integration at George Brown. In February, the college celebrated Black Futures and examined its anti-racism policies and practices with the help of a consulting firm. The Take 5 for Anti-Racism resource is designed to guide users through five steps to engage in Anti-Racism. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.",?
