,contextId,context,question
0,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",What is the name of this business administration program with a focus on project management?
1,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", What credential will students receive after completing this program?"
2,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", How long does it take to complete this advanced diploma program in Business Administration – Project Management?"
3,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", In which months can students begin this program?"
4,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", How much does it cost for domestic students to attend this program for one academic year?"
5,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", How much does it cost for international students to attend this program for one academic year?"
6,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",", Which centre and school is this full-time program located in?"
7,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",What skills will students learn to effectively manage projects upon graduation?
8,f821e22c-d25c-4bdb-bd2d-52b2281235bf," Program Name: Business Administration – Project Management
Code: B156
Credential: Ontario College Advanced Diploma
Method of Study: Full-time
Duration: 3 years (6 semesters in-class, 2 semesters work experience)
Starting Months: January, September
Domestic Tuition: $4,640.00 *
International Tuition: $17,455.00 **
Centre: Business
School: Management
Location: St. James Campus
Program Description: Students will be prepared to manage project scope and change, project control, project staffing and risk management, provide motivation and goal-setting, utilize project management tools, etc in careers that incorporate project management or in stand-alone project manager positions.

* Domestic tuition fee for the given program for one academic year.
** International tuition fee for the given program for one academic year.",?
9,67b87b5e-cc6b-434e-8567-b72e1ae3206c," This text is about the Business Administration – Project Management program (B156) offered by George Brown College's School of Management. The program requires students to complete two semesters of work experience to graduate, which can be co-op (paid) or internship (unpaid). The text also mentions that the Centre for Business diplomas, advanced diplomas, and degree programs have been accredited globally by the Accreditation Council for Business Schools and Programs (ACBSP), making George Brown one of only two colleges in Ontario with this accreditation. Additionally, students are required to bring their own laptops due to a Bring Your Own Device (BYOD) initiative. The text does not provide any specific numbers or names related to the program or college.",What is the name of the Business Administration - Project Management program offered at George Brown College's School of Management?
