,contextId,context,question
0,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",1. Which programs does the George Brown College's Centre for Business offer at their downtown Toronto location?
1,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",2. Does the Centre for Business have any programs with experiential learning or work experience?
2,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.","3. How many of the Centre for Business's diplomas, advanced diplomas, and degree programs hold international recognition from the Accreditation Council for Business Schools and Programs (ACBSP)?"
3,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",4. Where can prospective students attend information sessions to learn more about the Centre for Business's programs and facilities?
4,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",5. In which ways does the Centre for Business offer flexibility for working professionals in their online postgraduate certificate programs?
5,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.","6. What is the contact information for inquiring about the Centre for Business's online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries?"
6,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",7. Does George Brown College have ACBSP accreditation for all their programs?
7,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",8. How can one find information about the Centre for Business on their website?
8,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",9. Are there any application deadlines for the Centre for Business's programs?
9,ed61dd21-88af-49f1-af92-c9ae6903c420," The George Brown College's Centre for Business offers 33 diploma, degree, and postgraduate programs at their downtown Toronto location near the business hub. Some programs include experiential learning or work experience. They have international recognition from the Accreditation Council for Business Schools and Programs (ACBSP) for 14 of their diplomas, advanced diplomas, and degree programs. Prospective students can attend monthly information sessions to learn more about the programs and facilities. The Centre for Business holds ACBSP accreditation, making George Brown one of only two colleges in Ontario with this recognition. Online postgraduate certificate programs offer flexibility for working professionals with evening and weekend classes and some programs include a work term. For more information on their online programs, classrooms, consulting labs, land acknowledgment, application deadlines, college news, upcoming events, tours, and other inquiries, contact 416-415-2000 or ask.george@georgebrown.ca. George Brown College's website information is subject to change without notice.",10. What upcoming events does the Centre for Business have?
