,contextId,context,question
0,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",1. What are the services offered by the Tutoring and Learning Centre (TLC) of George Brown College?
1,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
2. How can students access the TLC's in-person and online tutoring sessions?"
2,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
3. What resources does the TLC site offer as study aids for English and math?"
3,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
4. What subjects do the TLC resources cover besides English and math?"
4,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
5. Who should students contact if they cannot find what they are looking for on the TLC site?"
5,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
6. What is the contact information for the TLC Advisors for English and Math?"
6,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
7. How can students provide feedback on the TLC resources?"
7,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
8. What is the website's policy on changes to content without notice?"
8,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
9. Who is responsible for verifying George Brown College fee requirements?"
9,ccc5f540-1d39-4f5f-9837-edd15e67f0b7," The Tutoring and Learning Centre (TLC) of George Brown College offers in-person and online tutoring. Students can log in using their GBC credentials and book sessions. The resources on the TLC site are designed as study aids for English and math, but they do not cover all aspects of these subjects. Resources include materials on essay writing, citation styles, grammar, and more. Preparation materials, useful websites, and practice handouts are also available. Students can contact the TLC Advisor for English or the TLC Math Advisor if they cannot find what they're looking for. The contact information for the advisors is 416-415-2000 (regular line) and 1-877-515-5559 (TTY). Students can also send emails to ask.george@georgebrown.ca. The TLC Advisors welcome feedback, which should be filled out using a feedback form with the type of resource, name of the resource, and error description. The website's content is subject to change without notice, and students are responsible for verifying George Brown College fee requirements. The TLC provides resources related to essay writing, citation styles, grammar, and other subjects. They offer a Social Media Hub for more information, and application deadlines, college news, upcoming events, tours, and more can be accessed by signing up.",", 
10. What information can be accessed by signing up on the TLC Social Media Hub?"
