,contextId,context,question
0,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",1. What makes George Brown College a Top 100 Employer in Canada?
1,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
2. How does George Brown College help employees realize their potential?"
2,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
3. What values does George Brown College prioritize in its workforce?"
3,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
4. What benefits does the college offer to its staff?"
4,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
5. Are competitive salaries a feature of working at George Brown College?"
5,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
6. What systems does the college have for recognizing individual performance and overall success?"
6,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
7. How should job applications be submitted to George Brown College?"
7,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",", 
8. Where can potential applicants find information on applying to George Brown College?"
8,71d2b818-4565-496a-891d-07cc5d7433c0," George Brown College is a Top 100 Employer in Canada for three consecutive years. The college is committed to fostering a learning environment where employees can realize their potential and is known for rewarding exceptional people with opportunities and challenges. The college values teamwork, accountability, integrity, and service. It provides staff with meaningful work, responsive management, opportunities for advancement, and a comprehensive benefits package. Competitive salaries are offered. The college has systems in place for recognizing individual performance and overall success. Applications must be submitted online as the college does not accept paper or email applications. Potential applicants are encouraged to review the Online Job Application Information and FAQs before applying.",?
9,81dc401d-55e8-445c-a00b-fe98c53f2531," To apply for a job at George Brown College, you need to go to the job posting on the left of the page and follow instructions for submission. For technical difficulties during application process, contact Human Resources Department via email: hr@georgebrown.ca.",1. How do I apply for a job at George Brown College?
10,81dc401d-55e8-445c-a00b-fe98c53f2531," To apply for a job at George Brown College, you need to go to the job posting on the left of the page and follow instructions for submission. For technical difficulties during application process, contact Human Resources Department via email: hr@georgebrown.ca.",", 
2. Where can I find the job postings on the George Brown College website?"
11,81dc401d-55e8-445c-a00b-fe98c53f2531," To apply for a job at George Brown College, you need to go to the job posting on the left of the page and follow instructions for submission. For technical difficulties during application process, contact Human Resources Department via email: hr@georgebrown.ca.",", 
3. What is the email address for the Human Resources Department at George Brown College?"
12,81dc401d-55e8-445c-a00b-fe98c53f2531," To apply for a job at George Brown College, you need to go to the job posting on the left of the page and follow instructions for submission. For technical difficulties during application process, contact Human Resources Department via email: hr@georgebrown.ca.",?
